Partition,Group,QuestionNum,GroupAcc,OverallAcc,Disparity,N
LinguisticGroup,Native,1,0.7143,0.717,-0.0027,42
LinguisticGroup,Non-Native,1,0.7273,0.717,0.0103,11
LinguisticGroup,Native,2,0.6829,0.6346,0.0483,41
LinguisticGroup,Non-Native,2,0.4545,0.6346,-0.1801,11
LinguisticGroup,Native,3,0.7143,0.7308,-0.0165,42
LinguisticGroup,Non-Native,3,0.8,0.7308,0.0692,10
LinguisticGroup,Native,4,0.7727,0.7593,0.0135,44
LinguisticGroup,Non-Native,4,0.7,0.7593,-0.0593,10
LinguisticGroup,Native,5,0.6136,0.6364,-0.0227,44
LinguisticGroup,Non-Native,5,0.7273,0.6364,0.0909,11
LinguisticGroup,Native,6,0.6279,0.5283,0.0996,43
LinguisticGroup,Non-Native,6,0.1,0.5283,-0.4283,10
LinguisticGroup,Native,7,0.7045,0.6909,0.0136,44
LinguisticGroup,Non-Native,7,0.6364,0.6909,-0.0545,11
LinguisticGroup,Native,8,0.881,0.9057,-0.0247,42
LinguisticGroup,Non-Native,8,1.0,0.9057,0.0943,11
ExpertiseGroup,Non-STEM,1,0.7059,0.717,-0.0111,17
ExpertiseGroup,STEM,1,0.7222,0.717,0.0052,36
ExpertiseGroup,Non-STEM,2,0.5882,0.6346,-0.0464,17
ExpertiseGroup,STEM,2,0.6571,0.6346,0.0225,35
ExpertiseGroup,Non-STEM,3,0.7059,0.7308,-0.0249,17
ExpertiseGroup,STEM,3,0.7429,0.7308,0.0121,35
ExpertiseGroup,Non-STEM,4,0.8235,0.7593,0.0643,17
ExpertiseGroup,STEM,4,0.7297,0.7593,-0.0295,37
ExpertiseGroup,Non-STEM,5,0.5882,0.6364,-0.0481,17
ExpertiseGroup,STEM,5,0.6579,0.6364,0.0215,38
ExpertiseGroup,Non-STEM,6,0.5294,0.5283,0.0011,17
ExpertiseGroup,STEM,6,0.5278,0.5283,-0.0005,36
ExpertiseGroup,Non-STEM,7,0.7647,0.6909,0.0738,17
ExpertiseGroup,STEM,7,0.6579,0.6909,-0.033,38
ExpertiseGroup,Non-STEM,8,0.8824,0.9057,-0.0233,17
ExpertiseGroup,STEM,8,0.9167,0.9057,0.011,36
ExperienceGroup,High-Edu,1,0.6667,0.717,-0.0503,18
ExperienceGroup,Lower-Edu,1,0.7429,0.717,0.0259,35
ExperienceGroup,High-Edu,2,0.5263,0.6346,-0.1083,19
ExperienceGroup,Lower-Edu,2,0.697,0.6346,0.0624,33
ExperienceGroup,High-Edu,3,0.7895,0.7308,0.0587,19
ExperienceGroup,Lower-Edu,3,0.697,0.7308,-0.0338,33
ExperienceGroup,High-Edu,4,0.75,0.7593,-0.0093,20
ExperienceGroup,Lower-Edu,4,0.7647,0.7593,0.0054,34
ExperienceGroup,High-Edu,5,0.7,0.6364,0.0636,20
ExperienceGroup,Lower-Edu,5,0.6,0.6364,-0.0364,35
ExperienceGroup,High-Edu,6,0.4737,0.5283,-0.0546,19
ExperienceGroup,Lower-Edu,6,0.5588,0.5283,0.0305,34
ExperienceGroup,High-Edu,7,0.55,0.6909,-0.1409,20
ExperienceGroup,Lower-Edu,7,0.7714,0.6909,0.0805,35
ExperienceGroup,High-Edu,8,0.8947,0.9057,-0.0109,19
ExperienceGroup,Lower-Edu,8,0.9118,0.9057,0.0061,34
AgeGroup,Older-35plus,1,0.7576,0.717,0.0406,33
AgeGroup,Young-18-34,1,0.65,0.717,-0.067,20
AgeGroup,Older-35plus,2,0.7188,0.6346,0.0841,32
AgeGroup,Young-18-34,2,0.5,0.6346,-0.1346,20
AgeGroup,Older-35plus,3,0.697,0.7308,-0.0338,33
AgeGroup,Young-18-34,3,0.7895,0.7308,0.0587,19
AgeGroup,Older-35plus,4,0.7647,0.7593,0.0054,34
AgeGroup,Young-18-34,4,0.75,0.7593,-0.0093,20
AgeGroup,Older-35plus,5,0.6176,0.6364,-0.0187,34
AgeGroup,Young-18-34,5,0.6667,0.6364,0.0303,21
AgeGroup,Older-35plus,6,0.4848,0.5283,-0.0435,33
AgeGroup,Young-18-34,6,0.6,0.5283,0.0717,20
AgeGroup,Older-35plus,7,0.6765,0.6909,-0.0144,34
AgeGroup,Young-18-34,7,0.7143,0.6909,0.0234,21
AgeGroup,Older-35plus,8,0.9062,0.9057,0.0006,32
AgeGroup,Young-18-34,8,0.9048,0.9057,-0.0009,21
