Intersection,Group,N,N_Annotators,AP_d,SP_d,TPR_d,TNR_d,PPV_d,NPV_d,FPR_d,FNR_d,FDR_d,FOR_d,Unfair_Metrics,N_Unfair
LinguisticGroup x ExpertiseGroup,Native x Non-STEM,112,14,0.023,-0.0013,-0.0041,0.0504,0.0455,0.0103,-0.0504,0.0041,-0.0455,-0.0103,,0
LinguisticGroup x ExpertiseGroup,Native x STEM,230,31,0.0085,0.021,0.0463,-0.0296,-0.0126,0.023,0.0296,-0.0463,0.0126,-0.023,,0
LinguisticGroup x ExpertiseGroup,Non-Native x Non-STEM,24,3,-0.1169,-0.0638,-0.1291,-0.1044,-0.1322,-0.1048,0.1044,0.1291,0.1322,0.1048,AP(-0.117); TPR(-0.129); TNR(-0.104); PPV(-0.132); NPV(-0.105); FPR(+0.104); FNR(+0.129); FDR(+0.132); FOR(+0.105),9
LinguisticGroup x ExpertiseGroup,Non-Native x STEM,61,8,-0.0281,-0.0515,-0.113,0.0623,0.0297,-0.0512,-0.0623,0.113,-0.0297,0.0512,TPR(-0.113); FNR(+0.113),2
LinguisticGroup x ExperienceGroup,Native x High-Edu,130,17,-0.0156,-0.0215,-0.0354,0.0017,-0.0153,-0.0139,-0.0017,0.0354,0.0153,0.0139,,0
LinguisticGroup x ExperienceGroup,Native x Lower-Edu,212,28,0.0309,0.0352,0.069,-0.0069,0.0152,0.0406,0.0069,-0.069,-0.0152,-0.0406,,0
LinguisticGroup x ExperienceGroup,Non-Native x High-Edu,24,3,-0.1169,-0.0222,-0.0458,-0.1877,-0.1489,-0.0929,0.1877,0.0458,0.1489,0.0929,AP(-0.117); TNR(-0.188); PPV(-0.149); FPR(+0.188); FDR(+0.149),5
LinguisticGroup x ExperienceGroup,Non-Native x Lower-Edu,61,8,-0.0281,-0.0679,-0.1452,0.0956,0.0572,-0.0572,-0.0956,0.1452,-0.0572,0.0572,TPR(-0.145); FNR(+0.145),2
LinguisticGroup x AgeGroup,Native x Older-35plus,217,29,0.0048,0.018,0.0376,-0.0279,-0.0122,0.0161,0.0279,-0.0376,0.0122,-0.0161,,0
LinguisticGroup x AgeGroup,Native x Young-18-34,125,16,0.0278,0.0062,0.0161,0.0385,0.037,0.0224,-0.0385,-0.0161,-0.037,-0.0224,,0
LinguisticGroup x AgeGroup,Non-Native x Older-35plus,48,6,-0.0127,-0.043,-0.0874,0.0623,0.0325,-0.0311,-0.0623,0.0874,-0.0325,0.0311,,0
LinguisticGroup x AgeGroup,Non-Native x Young-18-34,37,5,-0.1056,-0.0706,-0.1554,-0.0488,-0.0894,-0.111,0.0488,0.1554,0.0894,0.111,AP(-0.106); TPR(-0.155); NPV(-0.111); FNR(+0.155); FOR(+0.111),5
ExpertiseGroup x ExperienceGroup,Non-STEM x High-Edu,56,7,-0.0395,-0.0281,-0.0577,-0.021,-0.0366,-0.0399,0.021,0.0577,0.0366,0.0399,,0
ExpertiseGroup x ExperienceGroup,Non-STEM x Lower-Edu,80,10,0.0248,-0.0013,-0.0041,0.054,0.049,0.0113,-0.054,0.0041,-0.049,-0.0113,,0
ExpertiseGroup x ExperienceGroup,STEM x High-Edu,98,13,-0.0268,-0.0179,-0.0249,-0.031,-0.0418,-0.0155,0.031,0.0249,0.0418,0.0155,,0
ExpertiseGroup x ExperienceGroup,STEM x Lower-Edu,193,26,0.0148,0.0178,0.0307,-0.0002,0.0119,0.0154,0.0002,-0.0307,-0.0119,-0.0154,,0
ExpertiseGroup x AgeGroup,Non-STEM x Older-35plus,64,8,-0.0127,0.0143,0.0271,-0.0523,-0.0322,0.0002,0.0523,-0.0271,0.0322,-0.0002,,0
ExpertiseGroup x AgeGroup,Non-STEM x Young-18-34,72,9,0.0081,-0.036,-0.0736,0.0901,0.0678,-0.0167,-0.0901,0.0736,-0.0678,0.0167,,0
ExpertiseGroup x AgeGroup,STEM x Older-35plus,201,27,0.0062,0.0046,0.0109,0.0012,0.0034,0.008,-0.0012,-0.0109,-0.0034,-0.008,,0
ExpertiseGroup x AgeGroup,STEM x Young-18-34,90,12,-0.0113,0.0084,0.0153,-0.0377,-0.0249,-0.0028,0.0377,-0.0153,0.0249,0.0028,,0
ExperienceGroup x AgeGroup,High-Edu x Older-35plus,83,11,-0.0496,-0.0367,-0.0681,-0.0329,-0.0558,-0.0436,0.0329,0.0681,0.0558,0.0436,,0
ExperienceGroup x AgeGroup,High-Edu x Young-18-34,71,9,-0.0101,-0.004,-0.0005,-0.021,-0.0226,-0.0012,0.021,0.0005,0.0226,0.0012,,0
ExperienceGroup x AgeGroup,Lower-Edu x Older-35plus,182,24,0.025,0.0268,0.0522,-0.0018,0.0147,0.0308,0.0018,-0.0522,-0.0147,-0.0308,,0
ExperienceGroup x AgeGroup,Lower-Edu x Young-18-34,91,12,0.0031,-0.0171,-0.0422,0.0512,0.0392,-0.0155,-0.0512,0.0422,-0.0392,0.0155,,0
