Metric,After,Before,Delta
AgeGroup_Older-35plus_AP,0.7019,0.6678,0.03410000000000002
AgeGroup_Older-35plus_AP_d,0.0017,-0.0052,0.0069
AgeGroup_Older-35plus_N,265.0,304.0,-39.0
AgeGroup_Older-35plus_TPR_d,0.0148,0.0112,0.0036000000000000008
AgeGroup_Young-18-34_AP,0.6975,0.6818,0.015700000000000047
AgeGroup_Young-18-34_AP_d,-0.0027,0.0089,-0.0116
AgeGroup_Young-18-34_N,162.0,176.0,-14.0
AgeGroup_Young-18-34_TPR_d,-0.0242,-0.0193,-0.004899999999999998
CalibGap_AgeGroup_Older-35plus,0.0548,0.1102,-0.055400000000000005
CalibGap_AgeGroup_Young-18-34,0.0628,0.0729,-0.010100000000000012
CalibGap_ExperienceGroup_High-Edu,0.13,0.1483,-0.018299999999999983
CalibGap_ExperienceGroup_Lower-Edu,0.0171,0.0686,-0.05149999999999999
CalibGap_ExpertiseGroup_Non-STEM,0.024,0.0643,-0.040299999999999996
CalibGap_ExpertiseGroup_STEM,0.0736,0.1103,-0.036699999999999997
CalibGap_LinguisticGroup_Native,0.0453,0.0899,-0.044599999999999994
CalibGap_LinguisticGroup_Non-Native,0.1082,0.1259,-0.017700000000000007
ExperienceGroup_High-Edu_AP,0.6688,0.6667,0.0020999999999999908
ExperienceGroup_High-Edu_AP_d,-0.0314,-0.0063,-0.025099999999999997
ExperienceGroup_High-Edu_N,154.0,168.0,-14.0
ExperienceGroup_High-Edu_TPR_d,-0.037,-0.0161,-0.0209
ExperienceGroup_Lower-Edu_AP,0.7179,0.6763,0.04159999999999997
ExperienceGroup_Lower-Edu_AP_d,0.0177,0.0034,0.0143
ExperienceGroup_Lower-Edu_N,273.0,312.0,-39.0
ExperienceGroup_Lower-Edu_TPR_d,0.0205,0.0087,0.011800000000000001
ExpertiseGroup_Non-STEM_AP,0.6985,0.6736,0.024900000000000033
ExpertiseGroup_Non-STEM_AP_d,-0.0017,0.0007,-0.0024
ExpertiseGroup_Non-STEM_N,136.0,144.0,-8.0
ExpertiseGroup_Non-STEM_TPR_d,-0.0262,-0.0042,-0.022000000000000002
ExpertiseGroup_STEM_AP,0.701,0.6726,0.02839999999999998
ExpertiseGroup_STEM_AP_d,0.0008,-0.0003,0.0011
ExpertiseGroup_STEM_N,291.0,336.0,-45.0
ExpertiseGroup_STEM_TPR_d,0.0123,0.0018,0.0105
LinguisticGroup_Native_AP,0.7135,0.6811,0.032399999999999984
LinguisticGroup_Native_AP_d,0.0132,0.0082,0.004999999999999999
LinguisticGroup_Native_N,342.0,392.0,-50.0
LinguisticGroup_Native_TPR_d,0.0297,0.0196,0.010100000000000001
LinguisticGroup_Non-Native_AP,0.6471,0.6364,0.010700000000000043
LinguisticGroup_Non-Native_AP_d,-0.0532,-0.0366,-0.016599999999999997
LinguisticGroup_Non-Native_N,85.0,88.0,-3.0
LinguisticGroup_Non-Native_TPR_d,-0.1175,-0.0875,-0.03
N_Annotators,56.0,60.0,-4.0
N_Rows,427.0,480.0,-53.0
Overall_Accuracy,0.7002,0.6729,0.02729999999999999
Overall_TPR,0.6291,0.5875,0.04159999999999997
