CrossPartition,CrossGroup,Tier,NN_N,NN_Acc,Nat_N,Nat_Acc,Gap_NN_minus_Nat,NN_Overall_Acc,Nat_Overall_Acc,Overall_Gap
ExpertiseGroup,Non-STEM,Hard,8,0.125,34,0.5,-0.375,0.5833,0.7232,-0.1399
ExpertiseGroup,Non-STEM,Medium,7,0.8571,38,0.7368,0.1203,0.5833,0.7232,-0.1399
ExpertiseGroup,Non-STEM,Easy,9,0.7778,40,0.9,-0.1222,0.5833,0.7232,-0.1399
ExpertiseGroup,STEM,Hard,20,0.3,70,0.4857,-0.1857,0.6721,0.7087,-0.0366
ExpertiseGroup,STEM,Medium,23,0.8261,82,0.6951,0.131,0.6721,0.7087,-0.0366
ExpertiseGroup,STEM,Easy,18,0.8889,78,0.9231,-0.0342,0.6721,0.7087,-0.0366
ExperienceGroup,High-Edu,Hard,8,0.5,42,0.4524,0.0476,0.5833,0.6846,-0.1013
ExperienceGroup,High-Edu,Medium,7,0.5714,44,0.7045,-0.1331,0.5833,0.6846,-0.1013
ExperienceGroup,High-Edu,Easy,9,0.6667,44,0.8864,-0.2197,0.5833,0.6846,-0.1013
ExperienceGroup,Lower-Edu,Hard,20,0.15,62,0.5161,-0.3661,0.6721,0.7311,-0.059
ExperienceGroup,Lower-Edu,Medium,23,0.913,76,0.7105,0.2025,0.6721,0.7311,-0.059
ExperienceGroup,Lower-Edu,Easy,18,0.9444,74,0.9324,0.012,0.6721,0.7311,-0.059
AgeGroup,Older-35plus,Hard,16,0.375,69,0.5072,-0.1322,0.6875,0.7051,-0.0176
AgeGroup,Older-35plus,Medium,17,0.8235,73,0.6986,0.1249,0.6875,0.7051,-0.0176
AgeGroup,Older-35plus,Easy,15,0.8667,75,0.8933,-0.0267,0.6875,0.7051,-0.0176
AgeGroup,Young-18-34,Hard,12,0.0833,35,0.4571,-0.3738,0.5946,0.728,-0.1334
AgeGroup,Young-18-34,Medium,13,0.8462,47,0.7234,0.1227,0.5946,0.728,-0.1334
AgeGroup,Young-18-34,Easy,12,0.8333,43,0.9535,-0.1202,0.5946,0.728,-0.1334
