Version,Question,Actual,NN_N,NN_Acc,NN_YesRate,Nat_N,Nat_Acc,Nat_YesRate,NN_Conf,NN_Time,NN_ExplLen
1,1,Yes,3,0.333,0.333,11,0.455,0.455,0.803,52.3,40.0
1,3,No,3,0.667,0.333,10,0.5,0.5,0.76,76.0,50.0
1,5,Yes,3,0.333,0.333,11,0.727,0.727,0.727,31.8,53.0
1,6,Yes,3,0.0,0.0,11,0.364,0.364,0.653,33.2,47.0
2,2,Yes,3,0.0,0.0,8,0.875,0.875,0.833,60.9,58.0
2,7,No,3,0.333,0.667,10,0.1,0.9,0.66,56.9,76.0
3,2,Yes,3,0.333,0.333,11,0.455,0.455,0.867,24.3,72.0
3,6,Yes,3,0.0,0.0,11,0.455,0.455,0.727,62.1,73.0
4,5,Yes,2,0.5,0.5,11,0.364,0.364,0.475,63.4,110.0
4,6,Yes,2,0.0,0.0,10,0.7,0.7,0.475,59.2,53.0
