Cross1,Value1,Cross2,Value2,Tier,NN_N,NN_Acc,Nat_N,Nat_Acc,Gap,Fisher_p
AgeGroup,Older-35plus,,,Hard,16,0.375,69,0.5072,-0.1322,0.4116
AgeGroup,Older-35plus,,,Medium,17,0.8235,73,0.6986,0.1249,0.379
AgeGroup,Older-35plus,,,Easy,15,0.8667,75,0.8933,-0.0267,0.6707
AgeGroup,Older-35plus,,,All,48,0.6875,217,0.7051,-0.0176,0.862
AgeGroup,Young-18-34,,,Hard,12,0.0833,35,0.4571,-0.3738,0.0342
AgeGroup,Young-18-34,,,Medium,13,0.8462,47,0.7234,0.1227,0.485
AgeGroup,Young-18-34,,,Easy,12,0.8333,43,0.9535,-0.1202,0.2039
AgeGroup,Young-18-34,,,All,37,0.5946,125,0.728,-0.1334,0.1536
ExperienceGroup,High-Edu,,,Hard,8,0.5,42,0.4524,0.0476,1.0
ExperienceGroup,High-Edu,,,Medium,7,0.5714,44,0.7045,-0.1331,0.6635
ExperienceGroup,High-Edu,,,Easy,9,0.6667,44,0.8864,-0.2197,0.1242
ExperienceGroup,High-Edu,,,All,24,0.5833,130,0.6846,-0.1013,0.3518
ExperienceGroup,Lower-Edu,,,Hard,20,0.15,62,0.5161,-0.3661,0.0043
ExperienceGroup,Lower-Edu,,,Medium,23,0.913,76,0.7105,0.2025,0.0546
ExperienceGroup,Lower-Edu,,,Easy,18,0.9444,74,0.9324,0.012,1.0
ExperienceGroup,Lower-Edu,,,All,61,0.6721,212,0.7311,-0.059,0.4198
ExpertiseGroup,Non-STEM,,,Hard,8,0.125,34,0.5,-0.375,0.1093
ExpertiseGroup,Non-STEM,,,Medium,7,0.8571,38,0.7368,0.1203,0.6628
ExpertiseGroup,Non-STEM,,,Easy,9,0.7778,40,0.9,-0.1222,0.302
ExpertiseGroup,Non-STEM,,,All,24,0.5833,112,0.7232,-0.1399,0.2206
ExpertiseGroup,STEM,,,Hard,20,0.3,70,0.4857,-0.1857,0.2023
ExpertiseGroup,STEM,,,Medium,23,0.8261,82,0.6951,0.131,0.2939
ExpertiseGroup,STEM,,,Easy,18,0.8889,78,0.9231,-0.0342,0.6414
ExpertiseGroup,STEM,,,All,61,0.6721,230,0.7087,-0.0366,0.6374
AgeGroup,Older-35plus,ExperienceGroup,High-Edu,Hard,6,0.5,26,0.5385,-0.0385,1.0
AgeGroup,Older-35plus,ExperienceGroup,Lower-Edu,Hard,10,0.3,43,0.4884,-0.1884,0.3183
AgeGroup,Young-18-34,ExperienceGroup,High-Edu,Hard,2,0.5,16,0.3125,0.1875,1.0
AgeGroup,Young-18-34,ExperienceGroup,Lower-Edu,Hard,10,0.0,19,0.5789,-0.5789,0.0035
AgeGroup,Older-35plus,ExpertiseGroup,STEM,Hard,16,0.375,47,0.4894,-0.1144,0.5639
AgeGroup,Young-18-34,ExpertiseGroup,Non-STEM,Hard,8,0.125,12,0.4167,-0.2917,0.3246
AgeGroup,Young-18-34,ExpertiseGroup,STEM,Hard,4,0.0,23,0.4783,-0.4783,0.1225
ExperienceGroup,High-Edu,ExpertiseGroup,Non-STEM,Hard,2,0.5,16,0.375,0.125,1.0
ExperienceGroup,High-Edu,ExpertiseGroup,STEM,Hard,6,0.5,26,0.5,0.0,1.0
ExperienceGroup,Lower-Edu,ExpertiseGroup,Non-STEM,Hard,6,0.0,18,0.6111,-0.6111,0.0162
ExperienceGroup,Lower-Edu,ExpertiseGroup,STEM,Hard,14,0.2143,44,0.4773,-0.263,0.1208
