Dataset,Tier,Partition,Group,N,Accuracy,Overall_Accuracy,Acc_Disparity,UNFAIR
Raw,Hard,LinguisticGroup,Native,126,0.4444,0.4091,0.0354,False
Raw,Hard,LinguisticGroup,Non-Native,28,0.25,0.4091,-0.1591,True
Raw,Hard,ExpertiseGroup,Non-STEM,44,0.4091,0.4091,0.0,False
Raw,Hard,ExpertiseGroup,STEM,110,0.4091,0.4091,0.0,False
Raw,Hard,ExperienceGroup,High-Edu,54,0.4444,0.4091,0.0354,False
Raw,Hard,ExperienceGroup,Lower-Edu,100,0.39,0.4091,-0.0191,False
Raw,Hard,AgeGroup,Older-35plus,102,0.4412,0.4091,0.0321,False
Raw,Hard,AgeGroup,Young-18-34,52,0.3462,0.4091,-0.0629,False
Raw,Medium,LinguisticGroup,Native,134,0.6791,0.703,-0.0239,False
Raw,Medium,LinguisticGroup,Non-Native,31,0.8065,0.703,0.1034,True
Raw,Medium,ExpertiseGroup,Non-STEM,49,0.7143,0.703,0.0113,False
Raw,Medium,ExpertiseGroup,STEM,116,0.6983,0.703,-0.0048,False
Raw,Medium,ExperienceGroup,High-Edu,56,0.6786,0.703,-0.0245,False
Raw,Medium,ExperienceGroup,Lower-Edu,109,0.7156,0.703,0.0126,False
Raw,Medium,AgeGroup,Older-35plus,101,0.6832,0.703,-0.0199,False
Raw,Medium,AgeGroup,Young-18-34,64,0.7344,0.703,0.0313,False
Raw,Easy,LinguisticGroup,Native,132,0.9091,0.8944,0.0147,False
Raw,Easy,LinguisticGroup,Non-Native,29,0.8276,0.8944,-0.0668,False
Raw,Easy,ExpertiseGroup,Non-STEM,51,0.8627,0.8944,-0.0317,False
Raw,Easy,ExpertiseGroup,STEM,110,0.9091,0.8944,0.0147,False
Raw,Easy,ExperienceGroup,High-Edu,58,0.8621,0.8944,-0.0323,False
Raw,Easy,ExperienceGroup,Lower-Edu,103,0.9126,0.8944,0.0182,False
Raw,Easy,AgeGroup,Older-35plus,101,0.8812,0.8944,-0.0132,False
Raw,Easy,AgeGroup,Young-18-34,60,0.9167,0.8944,0.0223,False
Cleaned,Hard,LinguisticGroup,Native,104,0.4904,0.4394,0.051,False
Cleaned,Hard,LinguisticGroup,Non-Native,28,0.25,0.4394,-0.1894,True
Cleaned,Hard,ExpertiseGroup,Non-STEM,42,0.4286,0.4394,-0.0108,False
Cleaned,Hard,ExpertiseGroup,STEM,90,0.4444,0.4394,0.0051,False
Cleaned,Hard,ExperienceGroup,High-Edu,50,0.46,0.4394,0.0206,False
Cleaned,Hard,ExperienceGroup,Lower-Edu,82,0.4268,0.4394,-0.0126,False
Cleaned,Hard,AgeGroup,Older-35plus,85,0.4824,0.4394,0.043,False
Cleaned,Hard,AgeGroup,Young-18-34,47,0.3617,0.4394,-0.0777,False
Cleaned,Medium,LinguisticGroup,Native,120,0.7083,0.7333,-0.025,False
Cleaned,Medium,LinguisticGroup,Non-Native,30,0.8333,0.7333,0.1,True
Cleaned,Medium,ExpertiseGroup,Non-STEM,45,0.7556,0.7333,0.0222,False
Cleaned,Medium,ExpertiseGroup,STEM,105,0.7238,0.7333,-0.0095,False
Cleaned,Medium,ExperienceGroup,High-Edu,51,0.6863,0.7333,-0.0471,False
Cleaned,Medium,ExperienceGroup,Lower-Edu,99,0.7576,0.7333,0.0242,False
Cleaned,Medium,AgeGroup,Older-35plus,90,0.7222,0.7333,-0.0111,False
Cleaned,Medium,AgeGroup,Young-18-34,60,0.75,0.7333,0.0167,False
Cleaned,Easy,LinguisticGroup,Native,118,0.9153,0.9034,0.0118,False
Cleaned,Easy,LinguisticGroup,Non-Native,27,0.8519,0.9034,-0.0516,False
Cleaned,Easy,ExpertiseGroup,Non-STEM,49,0.8776,0.9034,-0.0259,False
Cleaned,Easy,ExpertiseGroup,STEM,96,0.9167,0.9034,0.0132,False
Cleaned,Easy,ExperienceGroup,High-Edu,53,0.8491,0.9034,-0.0544,False
Cleaned,Easy,ExperienceGroup,Lower-Edu,92,0.9348,0.9034,0.0313,False
Cleaned,Easy,AgeGroup,Older-35plus,90,0.8889,0.9034,-0.0146,False
Cleaned,Easy,AgeGroup,Young-18-34,55,0.9273,0.9034,0.0238,False
