Dataset,Metric,Direction,Overall_Hard,NonNative_Hard,Disparity,UNFAIR
Raw,AP,higher,0.4091,0.25,-0.1591,True
Raw,SP,higher,0.3377,0.1429,-0.1948,True
Raw,TPR,higher,0.4262,0.1818,-0.2444,True
Raw,TNR,higher,0.3438,0.5,0.1562,False
Raw,PPV,higher,0.7123,0.5714,-0.1409,True
Raw,NPV,higher,0.1358,0.1429,0.0071,False
Raw,FPR,lower,0.6562,0.5,-0.1562,False
Raw,FNR,lower,0.5738,0.8182,0.2444,True
Raw,FDR,lower,0.2877,0.4286,0.1409,True
Raw,FOR,lower,0.8642,0.8571,-0.0071,False
Cleaned,AP,higher,0.4394,0.25,-0.1894,True
Cleaned,SP,higher,0.3712,0.1429,-0.2284,True
Cleaned,TPR,higher,0.4623,0.1818,-0.2804,True
Cleaned,TNR,higher,0.3462,0.5,0.1538,False
Cleaned,PPV,higher,0.7424,0.5714,-0.171,True
Cleaned,NPV,higher,0.1364,0.1429,0.0065,False
Cleaned,FPR,lower,0.6538,0.5,-0.1538,False
Cleaned,FNR,lower,0.5377,0.8182,0.2804,True
Cleaned,FDR,lower,0.2576,0.4286,0.171,True
Cleaned,FOR,lower,0.8636,0.8571,-0.0065,False
